Route Number	Route Name	Division(s)	All Interlines	Internal Branches
506	Carlton	Leslie, Russell, Eglinton, Queensway, Birchmount	306 Carlton	"506_0_506
506_1_506
506_0_506bus
506_1_506bus
506_1_506hp
506_0_506BusCx
506_1_506BusCx
506_0_506cx
506_1_cx506
506_0_506cxBus
506_0_hp506bus
506_0_CXMS
506_1_MSCX
506_0_hp506bus"
508 Lake Shore  Leslie  None  "508_0_508
508_0_LORQ
508_0_rq508
508_1_508
508_1_508lo
508_1_RQLO"
509	Harbourfront	Leslie	Unknown	"509_0_509
509_1_509
509_0_EXBA
509_1_BAEX"
510	Spadina	Leslie	310 Spadina	"510_0_510A
510_1_510A
510_0_510B
510_1_510B
510_1_kg510"
511	Bathurst	Mount Dennis	Unknown	"511_0_511
511_1_511
511_0_511bus
511_1_511bus
511_1_BKBA
511_0_BKEX"
512	St Clair	Leslie	Unknown	"512_0_512
512_1_512
512_0_512*
512_1_512*
512_0_512bus
512_1_512bus
512_0_GUVS
512_1_SCVS
512_1_SSVS
512_1_SSVS*
512_1_bs512
512_0_BSSS
512_0_BSSS*
512_0_512sc
512_1_sc512
512_0_BSSC"
514	Cherry	Leslie	None	"514_0_514
514_1_514"
900	Airport Express	Queensway	111 East Mall, 300 Bloor-Danforth	"900_0_900
900_1_900
900_0_900AM
900_1_900AM"
902	Markham Rd Express	Birchmount	17 Birchmount	"902_0_902
902_1_902"
903	Kennedy-Scarborough Ctr. Express	Malvern	131 Nugget	"903_0_903
903_1_903"
905	Eglinton East Express	Eglinton	None	"905_0_905
905_1_905"
913	Progress Express	Malvern	134 Progress	"913_0_913
913_1_913"
924	Victoria Park Express	Birchmount	24 Victoria Park	"924_0_924
924_1_924"
925	Don Mills Express	Eglinton	25 Don Mills, 320 Yonge	"925_0_925
925_0_do925
925_1_925"
927	Highway 27 Express	Arrow Rd	35 Jane	"927_0_927A
927_0_927B
927_0_927be
927_0_927C
927_0_927Dam
927_0_927Dpm
927_1_927A
927_1_927B
927_1_927C
927_1_927Dam
927_1_927Dpm
927_1_MGHY
927_1_MGRCP"
929	Dufferin Express	Mount Dennis	None	"929_0_929
929_0_929dlaw
929_1_929
929_1_929dlaw
929_1_929wils"
935	Jane Express	Arrow Rd	35 Jane	"935_0_935
935_0_js935
935_1_935
935_1_fj935"
937	Islington Express	Queensway	15 Evans	"937_0_937
937_1_937"
939	Finch Express	Malvern	129 McCowan North, 131 Nugget, 336 Finch West, 339 Finch East	"939_0_939A
939_0_939B
939_0_939C
939_0_COMC
939_1_939A
939_1_939B
939_1_939C
939_1_MCCO"
941	Keele Express	Mount Dennis	None	"941_0_941
941_1_941"
944	Kipling South Express	Queensway	300 Bloor-Danforth	"944_0_944
944_0_944am
944_0_944pm
944_1_944
944_1_944am
944_1_944pm"
945	Kipling Express	Queensway	112 West Mall	"945_0_945
945_1_945"
952	Lawrence West Express	Wilson	None	"952_0_952
952_1_952
952_1_T1T3"
953	Steeles East Express	Malvern	53 Steeles East, 353 Steeles East	"953_0_953Aam
953_0_953Apm
953_0_953Bam
953_0_953Bpm
953_1_953Bpm*
953_1_953Aam
953_1_953Apm
953_1_953Bam
953_1_953Bpm
953_1_MOSE"
954	Lawrence East Express	Eglinton	None	"954_0_954
954_0_954pm
954_1_954
954_1_954pm"
960	Steeles West Express	Arrow Rd	None	"960_0_960
960_1_960"
984	Sheppard West Express	Arrow Rd	84 Sheppard West	"984_0_984
984_1_984
984_0_984A
984_1_984A
984_1_RIWE"
985	Sheppard East Express	Malvern	300 Bloor-Danforth, 320 Yonge	"985_0_985A
985_0_985B
985_1_985A
985_1_985B"
986	Scarborough Express	Eglinton	86 Scarborough, 102 Markham Rd	"986_0_986
986_1_986"
989	Weston Express	Mount Dennis	None	"989_0_989
989_1_989"
995	York Mills Express	Malvern	95 York Mills	"995_0_995
995_1_995"
996	Wilson Express	Arrow Rd	36 Finch West	"996_0_996
996_1_996"
